What do you NOT need to do deep learning? (list 3 things)	<a href=https://storage.googleapis.com/aiquizzes/static/what_you_do_not_need.png><img src=https://storage.googleapis.com/aiquizzes/static/what_you_do_not_need.png></a><br><br><a href='https://aiquizzes.com/questions/1'>view answer on aiquizzes</a>
Are neural networks a recent invention? What year was the mathematical model of an artifical neuron developed?	The model of an <a href="https://en.wikipedia.org/wiki/Artificial_neuron">artificial neuron</a> was developed in 1943 by Warren McCulloch and Walter Pitts. <a href=https://storage.googleapis.com/aiquizzes/static/artificial_neuron.png><img src=https://storage.googleapis.com/aiquizzes/static/artificial_neuron.png></a><br> In 1969 Marvin Minsky and Seymour Papert published <a href="https://en.wikipedia.org/wiki/Perceptrons_(book)">a very important book</a> where they demonstrated that a simple neural network (inputs connected directly to the output layer) would not be able to learn even something as simple and critical as the XOR function! Later in the book they show that with additional layers (single layer is sufficient) a neural network would be able to overcome these limitations (a message that was missed). And so the <a href="https://en.wikipedia.org/wiki/AI_winter">AI winter</a> began. <a href=https://storage.googleapis.com/aiquizzes/static/ai_winter.png><img src=https://storage.googleapis.com/aiquizzes/static/ai_winter.png></a><br> The history of neural networks goes way back!<br><br><a href='https://aiquizzes.com/questions/2'>view answer on aiquizzes</a>
What are some of the components of a system that can learn as described in <a href="https://mitpress.mit.edu/books/parallel-distributed-processing-volume-1">Prallel Distributed Processing</a>, a book released by MIT in 1986?	<a href=https://storage.googleapis.com/aiquizzes/static/parallel_distributed_processing.png><img src=https://storage.googleapis.com/aiquizzes/static/parallel_distributed_processing.png></a><br> <br><br><a href='https://aiquizzes.com/questions/3'>view answer on aiquizzes</a>
What can a sufficiently large network with one hidden layer learn?	It has been <a href="https://en.wikipedia.org/wiki/Universal_approximation_theorem">shown</a> that such a network can learn to approximate any mathematical model to any level of accuracy! Even though this is theoretically possible, in practice we need more layers to achieve good performance. More layers == &quot;deep&quot; and this is how we get deep learning! <a href=https://storage.googleapis.com/aiquizzes/static/age_of_deeplearning.png><img src=https://storage.googleapis.com/aiquizzes/static/age_of_deeplearning.png></a><br> <br><br><a href='https://aiquizzes.com/questions/4'>view answer on aiquizzes</a>
What is a good way to learn to play baseball? Is it by starting to learn about the physics of a parabola and learning how to stitch a ball, or by watching baseball and tossing the ball back and forth? How does this apply to learning deep learning (or anything else)?	Just as we would not teach how to play baseball to a kid (or anyone for that matter!) by teaching them calculus first, we will not learn deep learning in this fashion either! Instead, in the course, we will learn by playing the whole game - learning how to build end to end models that work! Only gradually, after we understand the big picture, will we start going deeper. <a href=https://storage.googleapis.com/aiquizzes/static/play_the_whole_game.png><img src=https://storage.googleapis.com/aiquizzes/static/play_the_whole_game.png></a><br> <br><br><a href='https://aiquizzes.com/questions/5'>view answer on aiquizzes</a>
What is machine learning? How does it compare to regular programming?	Machine learning, just like regular programming, is a way of telling computers what to do. But instead of telling the computer exactly how to carry out a specific task (say recognizing cats and dogs in pictures), we write a program where the computer can alter some parameters based on the training examples we show it. In this process, called training, it arrives at an implementation that (hopefully) will perform well on the task we ask it to accomplish. <a href=https://storage.googleapis.com/aiquizzes/static/what_is_machine_learning.png><img src=https://storage.googleapis.com/aiquizzes/static/what_is_machine_learning.png></a><br> <a href=https://storage.googleapis.com/aiquizzes/static/what_is_machine_learning_2.png><img src=https://storage.googleapis.com/aiquizzes/static/what_is_machine_learning_2.png></a><br> <a href=https://storage.googleapis.com/aiquizzes/static/what_is_machine_learning_3.png><img src=https://storage.googleapis.com/aiquizzes/static/what_is_machine_learning_3.png></a><br> <br><br><a href='https://aiquizzes.com/questions/6'>view answer on aiquizzes</a>
ML Jargon - what do we call: <ul> <li>the functional form of a model</li> <li>the weights</li> <li>the results</li> <li>the measure of performance</li> <li>the dependent variable</li> </ul> 	<ul> <li>the functional form of a model -&gt; architecture</li> <li>the weights -&gt; parameters</li> <li>the results -&gt; predictions</li> <li>the measure of performance -&gt; loss</li> <li>the dependent variable -&gt; targets</li> </ul> <a href=https://storage.googleapis.com/aiquizzes/static/ml_jargon.png><img src=https://storage.googleapis.com/aiquizzes/static/ml_jargon.png></a><br><br><br><a href='https://aiquizzes.com/questions/7'>view answer on aiquizzes</a>
What is a positive feedback loop?	A situation in which the more model is used, the more biased data becomes, making the model even more biased, and so forth. <a href="https://youtu.be/_QUEXsHfsA0?t=3821">&quot;Related issue is that of using data as a proxy for what you are after. In all cases, that data that you have is a proxy for some value that you truly care about and the difference between proxy and actual value often ends up being significant.&quot;</a> <a href=https://storage.googleapis.com/aiquizzes/static/positive_feedback_loop.png><img src=https://storage.googleapis.com/aiquizzes/static/positive_feedback_loop.png></a><br><br><br><a href='https://aiquizzes.com/questions/8'>view answer on aiquizzes</a>
What is the most important thing to do in the top-down approach to learning?	The most important thing is to be able to run a lot of experiments! A list of useful things to do before the second lecture includes: <ul> <li>make sure you can spin up a GPU server, that you can shut it down when it is finished</li> <li>run the code shown in the lecture</li> <li>use the documentation, use the doc function inside juypter notebook</li> <li>do some searching of the fast.ai docs</li> <li>see if you can grab the fast.ai documentation notebooks and try running them</li> <li>read a chapter of the <a href="https://github.com/fastai/fastbook">fast.ai book</a></li> <li>do the questinnaire at the end of the chapter (not everything has been covered yet, answer only the questions that you can)</li> <li>try to get comfortable with running code</li> </ul> <br><br><a href='https://aiquizzes.com/questions/9'>view answer on aiquizzes</a>
What is the difference between a loss and a metric?	Loss and metric are closely related, but the metric is the thing you care about, the loss is the thing your computer is using as the measure of performance to decide how to update model parameters. <a href=https://storage.googleapis.com/aiquizzes/static/metric_vs_loss.png><img src=https://storage.googleapis.com/aiquizzes/static/metric_vs_loss.png></a><br><br><br><a href='https://aiquizzes.com/questions/10'>view answer on aiquizzes</a>
Does using a validation set guarantee we will not overfit?	Not at all! Every change in hyperparameters, every run of training on our data where we use our validation set to verify results, makes it more plausible that we will overfit to our validation set! In this case, the overfitting would come from picking an architecture, picking training params, that perform well on our validation set but that do not generalize to other unseen data.<br><br> To be rigorous about this, we should set aside a third bit of data, called the test set. This is a part of our dataset that is neither used during the training nor for calculating our metrics. We do not look at this until the whole project is finished<br><br><a href='https://aiquizzes.com/questions/11'>view answer on aiquizzes</a>
